Ground (Dirt Cave)|床（土洞窟）|Sol (grotte de terre)
Ground (Grass Maze)|床（草迷宮）|Sol (labyrinthe végétal)
Dark Ground (Dirt Cave)|濃い床（土洞窟）|Sol sombre (grotte de terre)
Dark Ground (Grass Maze)|濃い床（草迷宮）|Sol sombre (labyrinthe végétal)
Hole (Dirt Cave)|穴（土洞窟）|Trou (grotte de terre)
Hole (Grass Maze)|穴（草迷宮）|Trou (labyrinthe végétal)
Hole (Stone Floor)|穴（石の床）|Trou (sol en pierre)
Ground Cracks|床のひび割れ|Fissures au sol
Ground (Rock Cave)|床（岩洞窟）|Sol (grotte de roche)
Ground (Crystal)|床（水晶）|Sol (crystal)
Dark Ground (Rock Cave)|濃い床（岩洞窟）|Sol foncé (grotte de roche)
Dark Ground (Crystal)|濃い床（水晶）|Sol foncé (crystal)
Hole (Rock Cave)|穴（岩洞窟）|Trou (grotte de roche)
Hole (Crystal)|穴（水晶）|Trou (crystal)
Hole|穴|Trou
Soil on Ground|床の汚れ|Tas de poussière
Ground (Lava Cave)|床（溶岩洞窟）|Sol (grotte de lave)
Ground (In Body)|床（体内）|Sol (dans le corps)
Dark Ground (Lava Cave)|濃い床（溶岩洞窟）|Sol foncé (grotte de lave)
Rug|じゅうたん|Tapis
Hole (Lava Cave)|穴（溶岩洞窟）|Trou (grotte de lave)
Hole (In Body)|穴（体内）|Trou (dans le corps)
Fencepost|柵|Clôture
Moss on Ground|床の苔|Mousse au sol
Ground (Ice Cave)|床（氷洞窟）|Sol (grotte de glace)
Ground (Demonic World)|床（魔界）|Sol (monde démoniaque)
Dark Ground (Ice Cave)|濃い床（氷洞窟）|Sol foncé (grotte de glace)
Rug|じゅうたん|Tapis
Hole (Ice Cave)|穴（氷洞窟）|Trou (grotte de glace)
Hole (Demonic World)|穴（魔界）|Trou (monde démoniaque)
Raised Stone|石段|Muret
Poison Swamp|毒の沼|Marais empoisonné
